code,name,prev_shares,curr_shares,delta,status
2327,國巨*,6839000,7499000,660000,UP
3665,貿聯-KY,1939848,2019848,80000,UP
1303,南亞,1000,1000,0,SAME
1319,東陽,1498000,1498000,0,SAME
1326,台化,1000,1000,0,SAME
1802,台玻,5996000,5996000,0,SAME
1815,富喬,1000,1000,0,SAME
2002,中鋼,4924000,4924000,0,SAME
2059,川湖,1000,1000,0,SAME
2308,台達電,3133000,3133000,0,SAME
2313,華通,1000,1000,0,SAME
2330,台積電,3072000,3072000,0,SAME
2345,智邦,2660000,2660000,0,SAME
2357,華碩,2000,2000,0,SAME
2368,金像電,2887000,2887000,0,SAME
2383,台光電,1809000,1809000,0,SAME
2404,漢唐,537000,537000,0,SAME
2439,美律,2000,2000,0,SAME
2449,京元電子,2676000,2676000,0,SAME
2454,聯發科,1000,1000,0,SAME
3008,大立光,4000,4000,0,SAME
3017,奇鋐,2402000,2402000,0,SAME
3037,欣興,5952000,5952000,0,SAME
3045,台灣大,2000,2000,0,SAME
3211,順達,1515000,1515000,0,SAME
3217,優群,346000,346000,0,SAME
3324,雙鴻,106000,106000,0,SAME
3376,新日興,1368000,1368000,0,SAME
3533,嘉澤,1000,1000,0,SAME
3583,辛耘,2000,2000,0,SAME
3653,健策,954000,954000,0,SAME
3661,世芯-KY,567000,567000,0,SAME
3711,日月光投控,2000,2000,0,SAME
4979,華星光,1219000,1219000,0,SAME
5274,信驊,102000,102000,0,SAME
5536,聖暉*,1000,1000,0,SAME
6139,亞翔,1679000,1679000,0,SAME
6191,精成科,3328000,3328000,0,SAME
6223,旺矽,1039000,1039000,0,SAME
6274,台燿,4965000,4965000,0,SAME
6488,環球晶,787000,787000,0,SAME
6510,精測,288000,288000,0,SAME
6515,穎崴,232000,232000,0,SAME
6669,緯穎,756000,756000,0,SAME
6805,富世達,1124000,1124000,0,SAME
8046,南電,4559000,4559000,0,SAME
8210,勤誠,1593000,1593000,0,SAME
8299,群聯,1615000,1615000,0,SAME
8358,金居,1827000,1827000,0,SAME
8996,高力,1000,1000,0,SAME
