code,name,prev_shares,curr_shares,delta,status
2313,華通,1000,501000,500000,UP
2449,京元電子,12668450,12818450,150000,UP
3264,欣銓,5917000,5916000,-1000,DOWN
3376,新日興,1741000,1740000,-1000,DOWN
4958,臻鼎-KY,1645000,1644000,-1000,DOWN
6271,同欣電,2223000,2222000,-1000,DOWN
6278,台表科,3249000,3248000,-1000,DOWN
8996,高力,1301000,1300000,-1000,DOWN
2308,台達電,7250000,7240000,-10000,DOWN
3653,健策,2407000,2397000,-10000,DOWN
6223,旺矽,2486000,2476000,-10000,DOWN
3017,奇鋐,5979000,5949000,-30000,DOWN
2383,台光電,4807000,4757000,-50000,DOWN
6669,緯穎,2226000,2176000,-50000,DOWN
8210,勤誠,2477000,2427000,-50000,DOWN
2454,聯發科,5148000,5088000,-60000,DOWN
3665,貿聯-KY,4671848,4591848,-80000,DOWN
6187,萬潤,88000,8000,-80000,DOWN
2345,智邦,6564000,6464000,-100000,DOWN
6274,台燿,5498000,5398000,-100000,DOWN
5274,信驊,313900,207900,-106000,DOWN
8046,南電,9624000,9474000,-150000,DOWN
2330,台積電,11264000,11014000,-250000,DOWN
2303,聯電,89518000,89118000,-400000,DOWN
2327,國巨*,25387000,24987000,-400000,DOWN
2368,金像電,1957000,1457000,-500000,DOWN
6805,富世達,2264000,1731000,-533000,DOWN
3711,日月光投控,19479000,18679000,-800000,DOWN
1590,亞德客-KY,1000,1000,0,SAME
2002,中鋼,5163000,5163000,0,SAME
2317,鴻海,1000,1000,0,SAME
2360,致茂,1000,1000,0,SAME
2382,廣達,1000,1000,0,SAME
2408,南亞科,1000,1000,0,SAME
2439,美律,1000,1000,0,SAME
2481,強茂,5000,5000,0,SAME
2637,慧洋-KY,1000,1000,0,SAME
3008,大立光,1000,1000,0,SAME
3037,欣興,20300000,20300000,0,SAME
3443,創意,325000,325000,0,SAME
3661,世芯-KY,1000,1000,0,SAME
4966,譜瑞-KY,1000,1000,0,SAME
4979,華星光,3173000,3173000,0,SAME
5347,世界,1000,1000,0,SAME
6191,精成科,3988000,3988000,0,SAME
6488,環球晶,1000,1000,0,SAME
6510,精測,477000,477000,0,SAME
6515,穎崴,1000,1000,0,SAME
8150,南茂,1000,1000,0,SAME
8358,金居,1000,1000,0,SAME
