code,name,prev_shares,curr_shares,delta,status
4958,臻鼎-KY,2712000,3543000,831000,UP
2308,台達電,7240000,7420000,180000,UP
6274,台燿,5546000,5696000,150000,UP
2368,金像電,1234000,1363000,129000,UP
2327,國巨*,24987000,25107000,120000,UP
6510,精測,446000,400000,-46000,DOWN
6669,緯穎,5656561,5582561,-74000,DOWN
3665,貿聯-KY,4280848,3943848,-337000,DOWN
3264,欣銓,6628000,5182000,-1446000,DOWN
1590,亞德客-KY,1000,1000,0,SAME
2002,中鋼,5163000,5163000,0,SAME
2303,聯電,89118000,89118000,0,SAME
2313,華通,501000,501000,0,SAME
2317,鴻海,1000,1000,0,SAME
2330,台積電,11864000,11864000,0,SAME
2345,智邦,6464000,6464000,0,SAME
2360,致茂,1000,1000,0,SAME
2382,廣達,1000,1000,0,SAME
2383,台光電,4750000,4750000,0,SAME
2408,南亞科,1000,1000,0,SAME
2439,美律,1000,1000,0,SAME
2449,京元電子,13138450,13138450,0,SAME
2454,聯發科,5186000,5186000,0,SAME
2481,強茂,5000,5000,0,SAME
2637,慧洋-KY,1000,1000,0,SAME
3008,大立光,1000,1000,0,SAME
3017,奇鋐,5949000,5949000,0,SAME
3037,欣興,20300000,20300000,0,SAME
3376,新日興,1740000,1740000,0,SAME
3443,創意,413000,413000,0,SAME
3653,健策,2512000,2512000,0,SAME
3661,世芯-KY,1000,1000,0,SAME
3711,日月光投控,16811000,16811000,0,SAME
4966,譜瑞-KY,1000,1000,0,SAME
4979,華星光,1000,1000,0,SAME
5274,信驊,207900,207900,0,SAME
5347,世界,1000,1000,0,SAME
6187,萬潤,1000,1000,0,SAME
6191,精成科,3988000,3988000,0,SAME
6223,旺矽,2544000,2544000,0,SAME
6271,同欣電,2222000,2222000,0,SAME
6278,台表科,3248000,3248000,0,SAME
6488,環球晶,1000,1000,0,SAME
6515,穎崴,95000,95000,0,SAME
6805,富世達,1773000,1773000,0,SAME
8046,南電,9037000,9037000,0,SAME
8150,南茂,1000,1000,0,SAME
8210,勤誠,1159000,1159000,0,SAME
8358,金居,1000,1000,0,SAME
8996,高力,485000,485000,0,SAME
