code,name,prev_shares,curr_shares,delta,status
6515,穎崴,313000,281000,-32000,DOWN
8996,高力,354000,1000,-353000,DOWN
4966,譜瑞-KY,1642000,1116000,-526000,DOWN
3711,日月光投控,14158000,12742000,-1416000,DOWN
2449,京元電子,6484000,4481000,-2003000,DOWN
1590,亞德客-KY,530000,530000,0,SAME
1815,富喬,107000,107000,0,SAME
2002,中鋼,5163000,5163000,0,SAME
2303,聯電,86550000,86550000,0,SAME
2308,台達電,5614000,5614000,0,SAME
2313,華通,1000,1000,0,SAME
2317,鴻海,7307000,7307000,0,SAME
2327,國巨*,25098000,25098000,0,SAME
2330,台積電,11960000,11960000,0,SAME
2345,智邦,6334000,6334000,0,SAME
2368,金像電,8315000,8315000,0,SAME
2382,廣達,1000,1000,0,SAME
2383,台光電,4486000,4486000,0,SAME
2439,美律,18000,18000,0,SAME
2454,聯發科,5037000,5037000,0,SAME
2481,強茂,5000,5000,0,SAME
3008,大立光,1000,1000,0,SAME
3017,奇鋐,5191000,5191000,0,SAME
3037,欣興,14735000,14735000,0,SAME
3264,欣銓,1508000,1508000,0,SAME
3376,新日興,1741000,1741000,0,SAME
3443,創意,1000,1000,0,SAME
3533,嘉澤,852000,852000,0,SAME
3653,健策,2267000,2267000,0,SAME
3661,世芯-KY,1000,1000,0,SAME
3665,貿聯-KY,4833848,4833848,0,SAME
4958,臻鼎-KY,1000,1000,0,SAME
5274,信驊,379000,379000,0,SAME
5347,世界,1000,1000,0,SAME
5439,高技,3528000,3528000,0,SAME
6147,頎邦,6275000,6275000,0,SAME
6187,萬潤,1334000,1334000,0,SAME
6191,精成科,3988000,3988000,0,SAME
6223,旺矽,2352000,2352000,0,SAME
6271,同欣電,2966000,2966000,0,SAME
6274,台燿,5058000,5058000,0,SAME
6278,台表科,4334000,4334000,0,SAME
6488,環球晶,350000,350000,0,SAME
6510,精測,930000,930000,0,SAME
6669,緯穎,2417000,2417000,0,SAME
6805,富世達,1811000,1811000,0,SAME
8046,南電,8917000,8917000,0,SAME
8150,南茂,1000,1000,0,SAME
8210,勤誠,2267000,2267000,0,SAME
8358,金居,980000,980000,0,SAME
