code,name,prev_shares,curr_shares,delta,status
3037,欣興,16607000,16971000,364000,UP
2308,台達電,5247000,5567000,320000,UP
3017,奇鋐,5295000,5423000,128000,UP
6805,富世達,1811000,1881000,70000,UP
1815,富喬,107000,1000,-106000,DOWN
5439,高技,3234000,2940000,-294000,DOWN
6147,頎邦,6275000,5752000,-523000,DOWN
1590,亞德客-KY,528000,528000,0,SAME
2002,中鋼,5163000,5163000,0,SAME
2303,聯電,86550000,86550000,0,SAME
2313,華通,1000,1000,0,SAME
2317,鴻海,1000,1000,0,SAME
2327,國巨*,25098000,25098000,0,SAME
2330,台積電,11960000,11960000,0,SAME
2345,智邦,6334000,6334000,0,SAME
2368,金像電,8315000,8315000,0,SAME
2382,廣達,1000,1000,0,SAME
2383,台光電,4653000,4653000,0,SAME
2439,美律,1000,1000,0,SAME
2449,京元電子,6197000,6197000,0,SAME
2454,聯發科,5131000,5131000,0,SAME
2481,強茂,5000,5000,0,SAME
3008,大立光,1000,1000,0,SAME
3264,欣銓,1508000,1508000,0,SAME
3376,新日興,1741000,1741000,0,SAME
3443,創意,1000,1000,0,SAME
3533,嘉澤,1000,1000,0,SAME
3653,健策,2267000,2267000,0,SAME
3661,世芯-KY,1000,1000,0,SAME
3665,貿聯-KY,4833848,4833848,0,SAME
3711,日月光投控,16135000,16135000,0,SAME
4958,臻鼎-KY,1000,1000,0,SAME
4966,譜瑞-KY,140000,140000,0,SAME
5274,信驊,448900,448900,0,SAME
5347,世界,1000,1000,0,SAME
6187,萬潤,1334000,1334000,0,SAME
6191,精成科,3988000,3988000,0,SAME
6223,旺矽,2443000,2443000,0,SAME
6271,同欣電,2966000,2966000,0,SAME
6274,台燿,5160000,5160000,0,SAME
6278,台表科,4334000,4334000,0,SAME
6488,環球晶,1000,1000,0,SAME
6510,精測,349000,349000,0,SAME
6515,穎崴,130000,130000,0,SAME
6669,緯穎,2417000,2417000,0,SAME
8046,南電,9519000,9519000,0,SAME
8150,南茂,1000,1000,0,SAME
8210,勤誠,2267000,2267000,0,SAME
8358,金居,1000,1000,0,SAME
8996,高力,1000,1000,0,SAME
